Customer Number,Customer Name,Fund ABN,Contribution,Contribution Date,USI
12345701,Olivia Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345702,Oscar Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345703,Paige Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345704,Rachel Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345705,Richard Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345706,Riley Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345707,Robert Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345708,Ryan Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345709,Samantha Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345710,Samuel Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345711,Sarah Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345712,Sean Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345713,Sean Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345714,Seth Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345715,Spencer Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345716,Stephanie Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345717,Sydney Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345718,Taylor Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345719,Thomas Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345720,Trevor Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345721,Tristan Alexander,64 354 456 824,456.12,28/02/2019,SBS4793AU
12345722,Victoria Alexander,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345723,Xavier Alexander,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345724,Zachary Alexander,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345725,Aaron Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345726,Adam Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345727,Alex Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345728,Alexandra Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345729,Allison Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345730,Amanda Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345731,Amber Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345732,Andrea Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345733,Angel Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345734,Bailey Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345735,Blake Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345736,Caleb Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345737,Carlos Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345738,Charles Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345739,Chloe Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345740,Connor Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345741,Courtney Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345742,Devin Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345743,Eduardo Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345744,Elijah Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
12345745,Eric Allen,64 354 456 824,678.34,27/02/2019,SBS4793AU
